,Variable,date,Tank,Mean,Cohort
1,Antenna:Shrimp lengths (ratio):,1/5/2018,LTB,0.201265022,
2,Condition Factor:,1/5/2018,LTB,0.980193949,
3,Gut content (score):,1/5/2018,LTB,2.666666667,
4,Hepatosomatic index:,1/5/2018,LTB,0.040766288,
5,Surface necrosis (score):,1/5/2018,LTB,0.666666667,
6,Antenna:Shrimp lengths (ratio):,1/11/2018,LTB,0.648408591,
7,Condition Factor:,1/11/2018,LTB,0.976508115,
8,Gut content (score):,1/11/2018,LTB,1,
9,Hepatosomatic index:,1/11/2018,LTB,0.049429264,
10,Surface necrosis (score):,1/11/2018,LTB,1,
11,Condition Factor:,1/18/2018,LTB,1.131957652,
12,Gut content (score):,1/18/2018,LTB,0.8,
13,Hepatosomatic index:,1/18/2018,LTB,0.047556373,
14,Surface necrosis (score):,1/18/2018,LTB,0,
15,Weight (g),1/18/2018,LTB,6.738,
16,Condition Factor:,1/25/2018,LTB,1.167448178,
17,Gut content (score):,1/25/2018,LTB,0,
18,Hepatosomatic index:,1/25/2018,LTB,0.038049337,
19,Surface necrosis (score):,1/25/2018,LTB,0.4,
20,Weight (g),1/25/2018,LTB,12.082,
21,Antenna:Shrimp lengths (ratio):,2/1/2018,LTB,0,
22,Condition Factor:,2/1/2018,LTB,1.158521006,
23,Gut content (score):,2/1/2018,LTB,0.8,
24,Hepatosomatic index:,2/1/2018,LTB,0.041492523,
25,Surface necrosis (score):,2/1/2018,LTB,0,
26,Antenna:Shrimp lengths (ratio):,2/7/2018,LTB,0,
27,Condition Factor:,2/7/2018,LTB,1.047072736,
28,Gut content (score):,2/7/2018,LTB,0,
29,Hepatosomatic index:,2/7/2018,LTB,0.04292037,
30,Surface necrosis (score):,2/7/2018,LTB,0,
31,Antenna:Shrimp lengths (ratio):,2/15/2018,LTB,0.265032843,
32,Condition Factor:,2/15/2018,LTB,1.219526404,
33,Gut content (score):,2/15/2018,LTB,0.6,
34,Hepatosomatic index:,2/15/2018,LTB,0.049673964,
35,Surface necrosis (score):,2/15/2018,LTB,0,
36,Antenna:Shrimp lengths (ratio):,2/22/2018,LTB,0.028352381,
37,Condition Factor:,2/22/2018,LTB,1.151774152,
38,Gut content (score):,2/22/2018,LTB,0,
39,Hepatosomatic index:,2/22/2018,LTB,0.042370029,
40,Surface necrosis (score):,2/22/2018,LTB,0,
41,Antenna:Shrimp lengths (ratio):,3/1/2018,LTB,0.22962412,
42,Condition Factor:,3/1/2018,LTB,1.16313666,
43,Gut content (score):,3/1/2018,LTB,0,
44,Hepatosomatic index:,3/1/2018,LTB,0.045339679,
45,Surface necrosis (score):,3/1/2018,LTB,0,
46,Antenna:Shrimp lengths (ratio):,4/4/2018,LTB,1.150835065,
47,Condition Factor:,4/4/2018,LTB,0.989078464,
48,Gut content (score):,4/4/2018,LTB,3.2,
49,Hepatosomatic index:,4/4/2018,LTB,0.060591818,
50,Surface necrosis (score):,4/4/2018,LTB,0,
51,Antenna:Shrimp lengths (ratio):,4/12/2018,LTB,0.11058839,
52,Condition Factor:,4/12/2018,LTB,1.404326344,
53,Gut content (score):,4/12/2018,LTB,0.2,
54,Hepatosomatic index:,4/12/2018,LTB,0.050692751,
55,Surface necrosis (score):,4/12/2018,LTB,0.2,
56,Antenna:Shrimp lengths (ratio):,4/19/2018,LTB,1.178616133,
57,Condition Factor:,4/19/2018,LTB,1.360357836,
58,Gut content (score):,4/19/2018,LTB,1.2,
59,Hepatosomatic index:,4/19/2018,LTB,0.052238104,
60,Surface necrosis (score):,4/19/2018,LTB,0,
61,Antenna:Shrimp lengths (ratio):,4/26/2018,LTB,0.614758687,
62,Condition Factor:,4/26/2018,LTB,1.247924268,
63,Gut content (score):,4/26/2018,LTB,1.8,
64,Hepatosomatic index:,4/26/2018,LTB,0.045896343,
65,Surface necrosis (score):,4/26/2018,LTB,0,
66,Gut content (score):,6/28/2018,LTB,2.4,
67,Gut content (score):,7/5/2018,LTB,1.2,
68,Gut content (score):,7/12/2018,LTB,1.2,
69,Antenna:Shrimp lengths (ratio):,7/19/2018,LTB,0.839419491,
70,Condition Factor:,7/19/2018,LTB,1.106427305,
71,Gut content (score):,7/19/2018,LTB,1.8,
72,Hepatosomatic index:,7/19/2018,LTB,0.051795996,
73,Surface necrosis (score):,7/19/2018,LTB,0,
74,Antenna:Shrimp lengths (ratio):,8/2/2018,LTB,0.341802546,
75,Condition Factor:,8/2/2018,LTB,1.193595198,
76,Gut content (score):,8/2/2018,LTB,1,
77,Hepatosomatic index:,8/2/2018,LTB,0.038908725,
78,Surface necrosis (score):,8/2/2018,LTB,0.4,
79,Antenna:Shrimp lengths (ratio):,8/9/2018,LTB,0.326041097,
80,Condition Factor:,8/9/2018,LTB,1.532959057,
81,Gut content (score):,8/9/2018,LTB,0.6,
82,Hepatosomatic index:,8/9/2018,LTB,0.049967612,
83,Surface necrosis (score):,8/9/2018,LTB,1.4,
84,Antenna:Shrimp lengths (ratio):,8/16/2018,LTB,0.334855428,
85,Condition Factor:,8/16/2018,LTB,1.0145187,
86,Gut content (score):,8/16/2018,LTB,0.8,
87,Hepatosomatic index:,8/16/2018,LTB,0.044206024,
88,Surface necrosis (score):,8/16/2018,LTB,1,
89,Antenna:Shrimp lengths (ratio):,8/23/2018,LTB,0.353114763,
90,Condition Factor:,8/23/2018,LTB,1.082872874,
91,Gut content (score):,8/23/2018,LTB,1,
92,Hepatosomatic index:,8/23/2018,LTB,0.03676313,
93,Surface necrosis (score):,8/23/2018,LTB,1,
