,Cohort,Tank,Date,Total Tenure,Tank Tenure,Total Feed Offered (g),REQUIRED Feed(g)/Day,Feed Size 1,% CP,% of Total,Total Feed (g) size 1,Feed Size 2,% CP2,% of Total2,Total Feed (g) size 2,Feed Size 3,% CP3,% of Total3,Total Feed (g) size 3,Alkalinity Remaining g/L,Sodium bicarbo te (g),Turbostart (mL),PROJECTED GROWTH Feed Curve,Required g protien per shrimp,FCR Expected ,Manual Correction Factor,Daily Feed Required at 35% CP Feed(g),400-600um,600-1000um,1.0-1.3mm,1.3-1.8mm,1.8-2.4mm,Grams of Increased Feed,Daily Feed Required at Offered 35%CP (g),Total Tenure Feed Offered (g),HISTORIC expected size (Wt g/ Shrimp),% Difference from Growth Curve,EXPECTED SIZE (Wt g/ Shrimp),Wt.(g) increment2,AVERAGE SIZE Weight in Grams / Shrimp,% Difference from Growth Curve2,ADFI,ADG,FEED:GAIN,Calculated Count - Includes Daily Mortality Rate and Staff Removal Counts,Jumpers,Sump Dump,Total Daily MIA Assumed Loss - Actual Counted,Daily Mortality Assumption,Samples,Harvest,Termi tion,"Actual Count - Estimates Including Sump Dump, Jumpers and Other Loses",Harvest Weight in Pounds,Projected Growth (g),Shrimp Count/L,Shrimp Count/m2,Shrimp Count/m3,Biomass Kg/m2,Maximum Biomass Kg/m2 by Weight,Biomass (Kg)/m3,Shrimp Harvest Size Code,MBBR(LPM),MBBR(GPM),Standard(LPM),Standard(GPM),EN(LPM),EN(GPM),Tank Level (cm),Initial Salinity (ppt),Fi l Salinity (28-32 PPT),Pump Pressure (PSI),BioFilter Flow Rate (LPM),pH (7.5-8.4),D.O. (goal 4.5),Temperature (28-30°C),TSS,Turbidity,Mat? Y/N,Imhoff (15mL/L),TAN NH4,Un-ionized NH3-N (0.4mg/L),NO2-N (4.5mg/L),ALK CaCO3 (75-200mg/L),NO3-N (250mg/L),28ppt Sea Water Added (cm),Marine Mix (Pounds),0 ppt RO Water Added (cm),Amonium Chloride (NH4Cl)g,Sodium Nitrite ( NO2)g,FOS (C6H12O6)g,Sodium Carbo te ( CO3)g,Sodium Bicarbo te ( HCO3)g,Biowish,Turbo start,Water Exchange Percent,Monster,NOTES,Turbostart 10X(mL),FCR Expected,% Difference from Growth Curve1,EXPECTED SIZE (Wt g/ Shrimp),Back Flush Frequency,Filter 2 - Pump Pressure (PSI),BioFilter 2 Flow Rate (LPM),TAN NH4_2,TAN NH4_3,NO2-N (4.5mg/L)_2,NO2-N (4.5mg/L)_3,ALK CaCO3 (75-200mg/L)_2,ALK CaCO3 (75-200mg/L)_3,NO3-N (250mg/L)_2,NO3-N (250mg/L)_3,Wt.(g) increment1,ADJUSTED EXPECTED SIZE (Wt g/ Shrimp),BioFilter Flow Rate (LPM)_2,Molts-Harvest End (g),Molts-Feed End (g),Bead Filter 1 Assigned Flow Rate (LPM),Bead Filter 2 Assigned Flow Rate (LPM),Recommended Back Flush Frequency,Recommended Sump Dump Frequency,PROJECTED GROWTH/FEED CURVE,Wt.(g) increment for Feed,ADFI Over Entire Tenure,ADG Over Entire Tenure,BioFilter Flow Rate (LPM)_3,Bead Filter 3 Assigned Flow Rate (LPM),Recommended Back Flush Frequency - All Filters,Calculated Daily Water Exch ge,NOTES
1,Cohort1,RTB1,11/27/2018,34,1,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,13742,1.185588789,0.017019498,,1,0,0,0,0,0,0,0,0,0,1.185588789,,,0.10708074, ,0, ,-8.82E-05,0,0, , ,0,0, , , ,0, ,1.185588789,0,0,0,0,1.697197305,0,570.9361698,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
2,Cohort1,RTB1,11/28/2018,35,2,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,0,1.297430339,0.017976397,,1,0,0,0,0,0,0,0,0,0,1.297430339,,,0.111841549, ,0, ,-8.57E-05, ,0, , ,0,0, , , ,0, ,1.297430339,0,0,0,0,1.752637172,0,521.720128,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
3,Cohort1,RTB1,11/29/2018,36,3,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,6871,1.414244363,0.018987097,,1,0,0,0,0,0,0,0,0,0,1.414244363,,,0.116814024, ,0, ,-8.33E-05, ,0, , ,0,0, , , ,0, ,1.414244363,0,0,0,0,1.805656152,0,478.6269899,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
4,Cohort1,RTB1,11/30/2018,37,4,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,0,1.536251938,0.020054622,,1,0,0,0,0,0,0,0,0,0,1.536251938,,,0.122007575, ,0, ,-8.11E-05, ,0, , ,0,0, , , ,0, ,1.536251938,0,0,0,0,1.856547571,0,440.6149185,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
5,Cohort1,RTB1,12/1/2018,38,5,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,6871,1.663683969,0.021182167,,1,0,0,0,0,0,0,0,0,0,1.663683969,,,0.127432031, ,0, ,-7.89E-05, ,0, , ,0,0, , , ,0, ,1.663683969,0,0,0,0,1.905556157,0,406.8654475,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
6,Cohort1,RTB1,12/2/2018,39,6,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,0,1.796781627,0.022373107,,1,0,0,0,0,0,0,0,0,0,1.796781627,,,0.133097658, ,0, ,-7.69E-05, ,0, , ,0,0, , , ,0, ,1.796781627,0,0,0,0,1.952888204,0,376.7266496,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
7,Cohort1,RTB1,12/3/2018,40,7,0,0,14-Dec,35%,100%,0, , ,0,0, , , ,0,200,0,0,1.935796807,0.023631005,,1,0,0,0,0,0,0,0,0,0,1.935796807,,,0.13901518, ,0, ,-7.50E-05, ,0, , ,0,0, , , ,0, ,1.935796807,0,0,0,0,1.998719202,0,349.6728169,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
8,Cohort1,RTB1,12/4/2018,41,8,1350,1895,14-Dec,35%,100%,1895, , ,0,0, , , ,0,136.1730459,6.8,0,2.0809926,0.026760685,,1,1895,0,0,0,1895,0,1895,1895,1350,2.0809926,,,0.145195794,1.4,0.672755876, ,0.034073171, ,24778, , ,170.8628935,170.8628935, , , ,24778, ,2.0809926,0.5,148.3934138,486.855032,0.308805596,2.04319967,1.013141719,325.2753144,65,18,33,9,22,6,29,29.1,29.1,7-3.69,190,7.76,5.3,27.4, , ,n, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
9,Cohort1,RTB1,12/5/2018,42,9,2008,1996,14-Dec,35%,100%,1996, , ,0,0, , , ,0,132.7711872,7.2,0,2.232643798,0.028387072,,1,1996,0,0,0,1996,0,101,1996,3358,2.232643798,,,0.151651198,1.489111,0.666972045,0.003226749,0.035383595,0.091193355,24607.13711, , ,169.6846657,169.6846657,21, , ,24587.31533, ,1.551651198,0.5,147.2514189,483.1083298,0.228482841,1.862681586,0.749615619,436.2420648,68,18,34,9,23,6,30,29.3,29.3,6.5-8.9,190,7.93,5.4,27.2, , ,n, ,2.16,0.09,2.01,216,30.01,10, , , , , , , ,12.7,6871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
10,Cohort1,RTB1,12/6/2018,43,10,2129,2101,14-Dec,35%,100%,2101, , ,0,0, , , ,0,129.2346013,7.6,0,2.391037407,0.030112304,,1,2101,0,0,0,2101,0,105,2101,5487,2.391037407,,,0.158393609, ,0,0.005185676,-6.98E-05,-74.32802898,24416.45244,25, ,143.3697519,168.3697519, , , ,24418.94558, ,1.647504609,0.5,146.2430662,479.8000861,0.240936126,1.899545998,0.790472853,410.8610796,72,19,36,10,24,7,40,29.8,29.8,6.5-9,190,7.86,5.6,27.6, , ,n, ,0.95,0.04,1.47,244,23.66, , , , , , , ,10.9,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
11,Cohort1,RTB1,12/7/2018,44,11,2254,2213,14-Dec,35%,100%,2213, , ,0,0, , , ,0,125.4622431,8,6871,2.556473195,0.031942386,,1,2213,0,0,0,2213,0,112,2213,7741,2.556473195,,,0.165435788, ,0,0.007205462,-6.82E-05,-105.6801081,24248.08269,20, ,147.2087162,167.2087162, , , ,24251.73687, ,1.812940397,0.5,145.2416669,476.5146553,0.263314485,1.958394284,0.863892668,373.3688782,76,20,38,10,26,7,40,28.4,28.4,6.6-9,190,7.9,5.5,27.9, , ,n, ,0.06,0,1.23,220,13.8, , , , , , , ,11.6,12.7,6871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
12,Cohort1,RTB1,12/8/2018,45,12,2389,2331,14-Dec,35%,100%,2331, , ,0,0, , , ,0,121.4877942,8.4,0,2.729264258,0.033883692,,1,2331,0,0,0,2331,0,118,2331,10130,2.729264258,,,0.172791062, ,0,0.009283666,-6.67E-05,-139.2549964,24080.87397,17, ,149.0556867,166.0556867, , , ,24085.68118, ,1.98573146,0.5,144.247173,473.25188,0.286436149,2.014382214,0.939751146,340.879689,80,21,40,11,27,7,40,28.7,28.7,3.8-8.9,190,7.82,5.5,28, , ,n, , , , , , , , , , , , , ,12.3,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
13,Cohort1,RTB1,12/9/2018,46,13,2533,2456,14-Dec,35%,100%,2456, , ,0,0, , , ,0,117.277573,8.8,0,2.90973761,0.035942982,,1,2456,0,0,0,2456,0,125,2456,12663,2.90973761,,,0.180473352, ,0,0.011431587,-6.52E-05,-175.2843358,23914.81829,14, ,150.9106082,164.9106082, , , ,23920.77057, ,2.166204812,0.5,143.2595369,470.0116039,0.310329498,2.067880671,1.018141398,312.4799275,84,23,42,12,28,8,40,28.5,28.5,6.6-6,190,7.79,5.3,28, , ,n, , , , , , , , , , , , , ,13,12.7,6871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
14,Cohort1,RTB1,12/10/2018,47,14,2686,2587,14-Dec,35%,100%,2587, , ,0,0, , , ,0,112.8652611,8.9,0,3.098234806,0.038127425,,1,2587,0,0,0,2587,0,131,2587,15349,3.098234806,,,0.188497196, ,0,0.013655737,-6.38E-05,-213.9398791,23749.90768,18,32,113.7734259,163.7734259, , , ,23756.99715, ,2.354702008,0.5,142.2787112,466.7936721,0.335023967,2.119194723,1.099159997,287.4654713,89,24,45,12,30,8,40,29.8,29.8,6.7-5.9,190,7.7,5.4,28.1, , ,n, ,0.07,0,0.57,201,29.78, , , , , , , ,13.8,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
15,Cohort1,RTB1,12/11/2018,48,15,2842,2726,14-Dec,35%,100%,2726, , ,0,0, , , ,0,108.1834951,8.9,0,3.295112586,0.040444629,,1,2726,0,0,0,2726,0,139,2726,18191,3.295112586,,,0.19687778, ,0,0.01595708,-6.25E-05,-255.3132732,23586.13425,12, ,150.6440853,162.6440853, , , ,23594.35306, ,2.551579788,0.5,141.3046491,463.5979302,0.360550087,2.168578306,1.182907109,265.2848739,93,25,47,13,31,9,38,28.7,28.7,6.8-5.9,190,7.74,5.2,28.1, , ,n, ,0.11,0,0.63,211, , , , , , , , ,14.6,12.7,6871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
